"state","top_5","top_5_filtered"
"Minnesota","early, amas, favorite, m, artist","early, amas, favorite, m, artist, can, florida, georgia, rights, vote, afrobeats, go, im, new, pop, will, wizkid, year, abortion, amp, black, btstwt, days, duo, ever, every, get, group, harry, hes, just, keep, people, privacy, reply, republican, seen, styles, taylor, thanks, video, white, women, 2, 2022, album, amas   , bts, cast, democrat, desantis, dont, election, elections, gop, help, house, lets, like, midterm, numbers, please, rampb, red, retweet, right, s, song, starts, state, stop, swift, today, voted, want"
"Mississippi","amas, artist, taylor, year, swift","amas, artist, taylor, year, swift, im, favorite, m, pop, beyoncé, female, red, version, album, btstwt, duo, group, new, taylors, 2022, amas   , b, bts, country, days, early, f, hiphop, just, make, minaj, music, nicki, starts, sure, video, vote, years"
"Missouri","artist, m, favorite, early, b","artist, m, favorite, early, b, blue, cardi, election, female, georgia, hiphop, im, vote, amas, red, today, will, 2, ballot, begins, bts, btstwt, day, democracy, gop, november, now, open, privacy, rampb, retweet, song, state, year, youre, 8th, amas   , amp, beyoncé, breaking, days, democrat, democrats, don’t, duo, economy, elections, every, first, get, go, group, hes, house, just, keep, like, local, mail, make, new, pop, re, record, reply, republican, right, rights, roe, said, starts, stop, sure, time, trump, voted, voter, votes, want, years"
"Montana","save, 8, alleging, also, blue","blue, breaking, democracy, election, georgia, gop, just, know, november, now, open, re, red, vote, will, yes"
"Nebraska","2022, 21, access, amas, american","2022, amas, arrested, ballot, days, desantis, elections, favorite, gop, im, like, local, music, people, please, rampb, republican, retweet, rights, ronfilipkowski, song, time"
"Nevada","favorite, amas, m, im, artist","favorite, amas, m, im, artist, early, pop, rampb, album, btstwt, get, song, vote, 20, cardi, day, duo, female, republican, rights, afrobeats, b, breaking, days, first, group, hiphop, house, just, keep, latto, lets, make, nicki, one, retweet, starts, voted, wizkid, 2, abortion, amp, ballot, begins, beyoncé, black, bts, cast, country, democrats, dont, don’t, election, ever, every, florida, georgia, gop, like, mail, minaj, new, november, now, please, polls, red, reply, reverendwarnock, roe, s, state, taylors, thanks, time, today, trump, version, voter, votes, walker, want, white, will, year, years, yes"
"New Hampshire","please, im, amas, anitta, early","please, im, amas, early, economy, favorite, make, vote, will, 1, 20, album, artist, breaking, can, day, democrats, dont, election, female, first, florida, like, m, now, record, red, republicans, rights, s, said, security, social, starts, voted, voter"
"New Jersey","amas, vote, artist, favorite, m","amas, vote, artist, favorite, m, im, early, now, today, republican, year, black, economy, female, georgia, gop, harry, just, new, people, pop, reply, social, btstwt, desantis, duo, florida, group, hes, hiphop, minaj, nicki, security, state, styles, want, youre, 20, abortion, amp, arrested, begins, don’t, election, latto, make, right, s, said, starts, us, video, will, years, 1, 2, album, b, blue, breaking, can, cardi, cast, continue, democrat, elections, ever, f, go, house, know, like, local, mail, marco, mmpadellan, november, please, rampb, red, retweet, ronfilipkowski, rubio, seen, song, taylor, thanks, time, trump, voted, white"
"New Mexico","im, know, rating, two, beto","im, know, breaking, day, early, first, just, keep, mail, november, numbers, record, rights, rubio, vote, voters, will, 8th, amas, arrested, artist, attorneycbruce, ballot, black, blue, cast, country, democrat, democrats, desantis, don’t, f, favorite, female, georgia, gop, group, havent, hiphop, like, m, male, marco, minaj, nicki, now, re, republicans, retweet, right, seen, state, stop, today, turned, video, voted, votes, women, years, youre"
"New York","favorite, amas, artist, m, female","favorite, amas, artist, m, female, hiphop, im, minaj, nicki, btstwt, pop, duo, group, bts, early, year, georgia, day, nickiminaj, new, first, vote, category, election, reply, b, beyoncé, cardi, record, wizkid, afrobeats, desantis, song, taylor, votes, 2022, album, rampb, red, s, will, 2, blue, breaking, herschel, people, re, rights, voters, 1, black, elections, just, latto, male, midterm, november, numbers, today, walker, want, amp, attorneycbruce, begins, havent, like, music, need, one, seen, state, swift, turned, amas   , ballot, cast, country, every, republican, said, us, version, voted, arrested, days, democrat, dont, don’t, get, harry, help, hes, know, local, mail, open, roe, ronfilipkowski, styles, sure, taylors, time, trump, yes, can, florida, go, gop, keep, lets, mmpadellan, now, polls, privacy, republicans, rubio, security, social, songs, video, voter, white, 20, 8th, continue, democracy, democrats, ever, f, house, make, marco, please, retweet, right, stop, women, years, youre"
"North Carolina","early, amas, artist, favorite, m","early, amas, artist, favorite, m, vote, im, begins, female, hiphop, make, today, will, b, cardi, pop, s, amp, day, people, year, election, elections, georgia, album, red, starts, sure, version, 1, 20, 2022, beyoncé, blue, economy, first, herschel, like, new, republican, walker, ballot, can, days, desantis, now, please, stop, want, black, btstwt, country, duo, get, gop, group, help, just, know, mail, minaj, nicki, one, republicans, rights, ronfilipkowski, security, social, state, taylors, us, abortion, arrested, democracy, democrats, ever, latto, local, marco, midterm, mmpadellan, need, nickiminaj, november, open, polls, privacy, re, reverendwarnock, right, rubio, said, song, swift, taylor, time, video, votes, white, yes, amas   , bts, cast, continue, democrat, dont, every, f, florida, go, hes, keep, music, rampb, retweet, roe, seen, thanks, trump, voted, voter, voters, years, youre"
"North Dakota","aka, americans, believe, breach, cathybliss7","elections, now, republican, state, trump, voters, white"
"Ohio","favorite, amas, im, m, artist","favorite, amas, im, m, artist, early, vote, female, just, will, btstwt, day, get, hiphop, minaj, nicki, pop, re, s, amp, can, duo, group, music, rampb, rights, 1, 2, album, b, bts, georgia, hes, keep, lets, like, mail, marco, mmpadellan, one, people, rubio, said, video, votes, youre, 20, ballot, blue, economy, f, house, know, need, november, now, numbers, privacy, red, reply, republican, starts, stop, sure, swift, taylor, time, us, voted, year, 2022, abortion, begins, beyoncé, breaking, cast, category, democrat, democrats, dont, election, elections, every, first, florida, gop, harry, help, make, male, new, open, reverendwarnock, right, roe, seen, song, styles, taylors, today, trump, version, walker, want, women, yes"
"Oklahoma","amas, favorite, artist, country, cufrance","amas, favorite, artist, country, female, m, im, blue, need, rights, trump, will, 1, album, amp, breaking, can, dont, don’t, early, election, every, georgia, get, hiphop, just, minaj, mmpadellan, nicki, republicans, s, today, us, vote, women, years"
"Oregon","amas, favorite, m, early, im","amas, favorite, m, early, im, artist, wizkid, duo, pop, btstwt, economy, georgia, group, people, year, 1, afrobeats, amp, black, blue, can, first, get, republican, vote, 20, 8th, arrested, breaking, bts, category, day, democrats, dont, election, florida, help, know, like, mail, make, need, now, open, polls, privacy, red, republicans, right, s, starts, today, us, voters, white, will, years, 2, album, ballot, cast, country, days, democracy, desantis, don’t, elections, ever, female, gop, herschel, hiphop, just, local, midterm, minaj, new, nicki, november, numbers, one, rampb, record, reply, retweet, reverendwarnock, rights, ronfilipkowski, song, taylors, thanks, time, version, voted, voter, votes, walker, women, youre"
"Pennsylvania","favorite, amas, artist, m, im","favorite, amas, artist, m, im, female, hiphop, group, early, georgia, b, btstwt, duo, people, pop, cardi, rights, day, minaj, nicki, 2, black, economy, election, keep, november, today, vote, youre, ever, house, mail, nickiminaj, record, roe, time, trump, votes, year, yes, 8th, breaking, bts, cast, elections, first, florida, just, like, midterm, retweet, s, state, sure, voters, will, 1, amp, arrested, attorneycbruce, beyoncé, days, democrat, dont, don’t, f, go, gop, havent, help, lets, make, male, need, new, numbers, privacy, republican, republicans, said, seen, starts, thanks, turned, years, 20, ballot, begins, blue, can, country, democracy, desantis, every, harry, hes, know, local, one, rampb, re, red, reply, ronfilipkowski, security, social, song, styles, voted, voter, want, white"
"Rhode Island","early, m, already, blue, live","early, m, blue, please, state, vote, 20, 8th, ballot, black, cast, country, days, don’t, ever, florida, get, go, gop, just, know, november, re, starts, stop, sure, thanks, today, white, will"
"South Carolina","amas, artist, early, favorite, m","amas, artist, early, favorite, m, female, im, vote, can, hiphop, rights, album, begins, election, georgia, minaj, nicki, will, amp, ballot, blue, democrats, get, just, keep, november, one, polls, pop, red, s, us, voters, year, b, beyoncé, breaking, bts, cardi, cast, country, day, democrat, don’t, elections, every, go, hes, latto, like, local, marco, mmpadellan, new, rampb, reply, republican, rubio, said, song, starts, state, today, votes, want, women, years, youre"
"South Dakota","absolutely, aoc, blue, burn, citizenfreepres","blue, country, don’t, gop, group, m, people, re, s, vote, voted, will, youre"
"Tennessee","amas, favorite, artist, taylor, swift","amas, favorite, artist, taylor, swift, year, early, m, version, im, pop, red, album, today, taylors, day, november, election, female, video, amp, begins, will, first, keep, music, starts, 20, can, georgia, go, hiphop, know, latto, make, now, republicans, s, 1, 8th, abortion, amas   , b, ballot, breaking, btstwt, cardi, category, country, days, duo, economy, florida, group, lets, like, midterm, new, one, people, privacy, reply, sure, vote, 2, black, bts, continue, democrat, desantis, elections, get, gop, herschel, hes, mail, minaj, nicki, open, rampb, republican, retweet, rights, roe, said, security, seen, social, state, voted, voter, voters, votes, walker, women, years"
"Texas","amas, favorite, m, im, pop","amas, favorite, m, im, pop, artist, btstwt, duo, group, early, bts, female, vote, georgia, year, hiphop, beyoncé, day, minaj, nicki, will, get, record, black, days, rights, amp, breaking, people, voters, album, first, rampb, republican, attorneycbruce, begins, can, category, election, gop, just, numbers, turned, abortion, elections, havent, male, reply, s, seen, starts, don’t, hes, retweet, desantis, keep, mmpadellan, please, song, state, 2022, afrobeats, arrested, blue, democrats, ever, every, house, lets, local, need, november, ronfilipkowski, thanks, today, us, want, 1, democracy, florida, harry, know, like, mail, make, midterm, music, now, one, open, re, roe, said, security, social, stop, styles, sure, trump, white, years, yes, youre, 2, 8th, b, ballot, country, economy, help, marco, new, republicans, right, rubio, votes, wizkid, cardi, cast, democrat, dont, nickiminaj, polls, privacy, red, voted, voter, women, 20, continue, f, go, herschel, latto, reverendwarnock, taylors, version, video, walker"
"Utah","evanmcmullin, lee, amas, mike, 10","amas, artist, bts, btstwt, democrat, duo, f, favorite, female, group, hiphop, im, just, know, m, make, minaj, nicki, open, please, pop, re, record, s, seen, sure, vote, will"
"Vermont","time, 2022, begins, creasonjana, early","time, 2022, begins, early, get, polls, reverendwarnock, rights, today, voted, voters, votes"
"Virginia","early, amas, im, b, gop","early, amas, im, b, gop, vote, day, favorite, first, georgia, m, rights, s, want, white, artist, black, btstwt, cardi, florida, herschel, need, now, one, re, ronfilipkowski, today, voters, votes, will, 2, begins, breaking, bts, cast, days, duo, economy, election, elections, ever, f, female, group, hiphop, just, know, numbers, people, pop, record, republican, retweet, stop, thanks, time, walker, amp, arrested, ballot, country, democracy, democrat, desantis, dont, get, go, harry, house, keep, lets, like, local, make, marco, nickiminaj, november, please, polls, red, reply, republicans, reverendwarnock, roe, rubio, styles, trump, year, years, yes"
"Washington","amas, favorite, pop, btstwt, im","amas, favorite, pop, btstwt, im, duo, group, m, republicans, vote, early, just, people, rights, artist, blue, georgia, amp, mail, re, will, bts, can, mmpadellan, republican, said, year, begins, black, day, don’t, get, gop, harry, hes, house, like, make, security, sure, today, voters, women, yes, 1, 2022, album, breaking, country, dont, election, female, marco, minaj, music, need, new, nicki, november, now, one, open, please, red, roe, rubio, social, state, styles, taylors, version, voted, votes, want, youre, 2, 8th, abortion, b, ballot, beyoncé, cast, days, democrat, economy, every, f, go, help, herschel, hiphop, keep, know, midterm, numbers, polls, record, retweet, right, s, seen, starts, stop, trump, us, video, voter, walker, white"
"West Virginia","ghost, impera, s, democrats, early","s, democrats, early, georgia, get, will, album, amas, ballot, economy, favorite, im, m, make, security, social, starts, blue, breaking, can, cast, day, democracy, don’t, ever, go, just, like, november, polls, re, republicans, reverendwarnock, rights, vote, voted, voters, votes"
"Wisconsin","amas, m, favorite, artist, pop","amas, m, favorite, artist, pop, vote, album, im, red, year, version, early, republican, swift, taylor, btstwt, democrats, don’t, rights, taylors, us, will, afrobeats, b, blue, cast, duo, economy, go, group, like, re, republicans, s, starts, wizkid, 2, 8th, abortion, amp, beyoncé, black, bts, can, cardi, country, days, democrat, election, every, f, female, first, georgia, gop, harry, hiphop, house, just, keep, make, new, one, open, people, polls, rampb, record, reply, right, said, song, state, styles, sure, time, today, voter, voters"
"Wyoming","get, mail, blue, booklet, california","get, mail, blue, democrats, early, mmpadellan, red, vote, will"
