code,n_tweets,total_anger,total_anticipation,total_disgust,total_fear,total_joy,total_negative,total_positive,total_sadness,total_surprise,total_trust
OR,11.539923954372624,23.82033898305085,31.016949152542374,31.20338983050848,26.169491525423727,64.2593220338983,39.92881355932204,39.79062811565304,22.813559322033896,33.72033898305085,34.518396031417936
PA,17.750950570342205,20.8,27.065217391304355,26.826086956521745,24.67391304347826,55.55760869565216,44.90434782608696,39.232736572890026,24.67391304347826,41.35326086956522,33.59756097560975
RI,2.129277566539924,18.6,75.55555555555557,1,1,43.89999999999999,36.2,28.82352941176471,56,34.00000000000001,35.609756097560975
SC,6.64638783269962,20.2,43.333333333333336,19.000000000000004,21.999999999999996,79,37,57.647058823529406,25,50.5,36.341463414634134
SD,1.188212927756654,20.8,45,75.25000000000001,50.5,33.175,40.6,27.205882352941178,75.25,38.12500000000001,33.59756097560975
TN,18.880228136882128,8.273469387755103,14.69387755102041,19.183673469387756,19.183673469387756,64.03673469387753,31.710204081632654,45.33013205282113,18.1734693877551,38.8826530612245,25.83623693379791
TX,52.38212927756655,17.069565217391307,18.29710144927536,26.826086956521745,17.141304347826086,69.54673913043477,49.78260869565217,40.92071611253198,28.978260869565215,55.342391304347835,31.235418875927888
UT,2.317490494296578,16.84,1,1,1,26.739999999999995,24.759999999999998,1,10.9,30.700000000000003,1
VA,9.093155893536123,30.2695652173913,37.826086956521735,33.28260869565218,31.1304347826087,48.56304347826086,54.37391304347826,44.29667519181586,28.978260869565215,36.5108695652174,37.53446447507953
VT,1,1,63.33333333333332,1,1,1,1,61.176470588235276,1,1,75.85365853658534
WA,15.68060836501901,27.399999999999995,25.308641975308642,26.66666666666667,23,55.022222222222204,59.666666666666664,28.82352941176471,46.22222222222223,50.5,28.455284552845526
WI,8.716730038022813,27.999999999999996,32.49999999999999,28.000000000000004,16.75,74.12499999999999,54.99999999999999,44.411764705882355,41.5,61.750000000000014,36.89024390243902
WV,2.88212927756654,25.36923076923077,40.769230769230774,69.53846153846155,54.30769230769231,50.5,37.55384615384616,32.80542986425339,46.692307692307686,12.423076923076925,29.418386491557218
WY,1,27.399999999999995,100,100,1,43.89999999999999,53.79999999999999,22.352941176470583,66.99999999999999,50.5,27.56097560975609
