"code","n_tweets","total_anger","total_anticipation","total_disgust","total_fear","total_joy","total_negative","total_positive","total_sadness","total_surprise","total_trust"
"IL",137,19.7080291970803,20.4379562043796,3.64963503649635,11.6788321167883,62.7737226277372,53.2846715328467,94.8905109489051,23.3576642335766,35.7664233576642,76.6423357664234
"IN",40,40,35,15,30,52.5,85,80,47.5,35,70
"KS",13,61.5384615384615,92.3076923076923,7.69230769230769,46.1538461538462,46.1538461538462,84.6153846153846,115.384615384615,61.5384615384615,38.4615384615385,69.2307692307692
"KY",15,33.3333333333333,46.6666666666667,6.66666666666667,46.6666666666667,66.6666666666667,93.3333333333333,93.3333333333333,20,46.6666666666667,93.3333333333333
"LA",34,26.4705882352941,38.2352941176471,8.82352941176471,11.7647058823529,58.8235294117647,55.8823529411765,123.529411764706,32.3529411764706,41.1764705882353,82.3529411764706
"MA",55,43.6363636363636,34.5454545454545,12.7272727272727,34.5454545454545,43.6363636363636,74.5454545454545,94.5454545454545,36.3636363636364,29.0909090909091,74.5454545454545
"MD",36,36.1111111111111,41.6666666666667,16.6666666666667,27.7777777777778,69.4444444444444,69.4444444444444,130.555555555556,47.2222222222222,44.4444444444444,102.777777777778
"ME",4,25,75,0,50,75,25,175,25,0,150
"MI",87,26.4367816091954,40.2298850574713,12.6436781609195,27.5862068965517,50.5747126436782,54.0229885057471,112.64367816092,37.9310344827586,20.6896551724138,73.5632183908046
"MN",40,35,27.5,10,45,40,70,97.5,35,30,80
"MO",35,20,37.1428571428571,5.71428571428571,20,45.7142857142857,34.2857142857143,94.2857142857143,28.5714285714286,25.7142857142857,71.4285714285714
"MS",27,7.40740740740741,18.5185185185185,3.7037037037037,3.7037037037037,59.2592592592593,40.7407407407407,125.925925925926,7.40740740740741,29.6296296296296,51.8518518518518
"MT",4,125,50,25,100,75,125,175,100,50,125
"NC",124,30.6451612903226,41.1290322580645,7.25806451612903,17.741935483871,43.5483870967742,48.3870967741936,91.1290322580645,30.6451612903226,27.4193548387097,63.7096774193548
"ND",3,0,66.6666666666667,0,0,33.3333333333333,33.3333333333333,200,0,33.3333333333333,166.666666666667
"NE",6,0,50,0,0,33.3333333333333,16.6666666666667,83.3333333333333,16.6666666666667,0,33.3333333333333
"NH",12,41.6666666666667,25,0,33.3333333333333,33.3333333333333,41.6666666666667,66.6666666666667,25,16.6666666666667,50
"NJ",53,28.3018867924528,32.0754716981132,13.2075471698113,30.188679245283,39.622641509434,64.1509433962264,79.2452830188679,50.9433962264151,28.3018867924528,83.0188679245283
"NM",24,25,25,0,25,20.8333333333333,54.1666666666667,58.3333333333333,25,16.6666666666667,66.6666666666667
"NV",40,40,37.5,17.5,27.5,65,80,97.5,27.5,32.5,82.5
"NY",280,18.5714285714286,25.7142857142857,7.5,16.0714285714286,65.7142857142857,50.3571428571429,112.142857142857,23.5714285714286,28.5714285714286,76.0714285714286
"OH",74,22.972972972973,31.0810810810811,16.2162162162162,29.7297297297297,47.2972972972973,66.2162162162162,100,37.8378378378378,27.027027027027,75.6756756756757
"OK",20,30,40,5,40,40,55,95,25,25,50
"OR",59,28.8135593220339,37.2881355932203,10.1694915254237,25.4237288135593,49.1525423728814,49.1525423728814,96.6101694915254,22.0338983050847,22.0338983050847,76.271186440678
"PA",92,25,33.695652173913,8.69565217391304,23.9130434782609,42.3913043478261,55.4347826086957,95.6521739130435,23.9130434782609,27.1739130434783,75
"RI",9,22.2222222222222,77.7777777777778,0,0,33.3333333333333,44.4444444444444,77.7777777777778,55.5555555555556,22.2222222222222,77.7777777777778
"SC",33,24.2424242424242,48.4848484848485,6.06060606060606,21.2121212121212,60.6060606060606,45.4545454545455,127.272727272727,24.2424242424242,33.3333333333333,78.7878787878788
"SD",4,25,50,25,50,25,50,75,75,25,75
"TN",98,9.18367346938776,22.4489795918367,6.12244897959184,18.3673469387755,48.9795918367347,38.7755102040816,106.122448979592,17.3469387755102,25.5102040816327,64.2857142857143
"TX",276,20.2898550724638,25.7246376811594,8.69565217391304,16.304347826087,53.2608695652174,61.5942028985507,98.5507246376812,28.2608695652174,36.5942028985507,71.7391304347826
"UT",10,20,10,0,0,20,30,30,10,20,30
"VA",46,36.9565217391304,43.4782608695652,10.8695652173913,30.4347826086957,36.9565217391304,67.3913043478261,104.347826086957,28.2608695652174,23.9130434782609,80.4347826086957
"VT",3,0,66.6666666666667,0,0,0,0,133.333333333333,0,0,133.333333333333
"WA",81,33.3333333333333,32.0987654320988,8.64197530864197,22.2222222222222,41.9753086419753,74.0740740740741,77.7777777777778,45.679012345679,33.3333333333333,67.9012345679012
"WI",44,34.0909090909091,38.6363636363636,9.09090909090909,15.9090909090909,56.8181818181818,68.1818181818182,104.545454545455,40.9090909090909,40.9090909090909,79.5454545454545
"WV",13,30.7692307692308,46.1538461538462,23.0769230769231,53.8461538461538,38.4615384615385,46.1538461538462,84.6153846153846,46.1538461538462,7.69230769230769,69.2307692307692
"WY",3,33.3333333333333,100,33.3333333333333,0,33.3333333333333,66.6666666666667,66.6666666666667,66.6666666666667,33.3333333333333,66.6666666666667
